time,dist,area
1,5.099019514,87
2,5.385164807,87
3,5.099019514,79
4,7.071067812,63
5,6.32455532,57
5,-3.16227766,33
6,6.08276253,50
6,-4.123105626,44
7,6.32455532,57
7,-3.605551275,39
8,7.280109889,64
8,-4.472135955,44
9,6,87
9,-5.099019514,64
10,4.123105626,57
11,6.32455532,51
11,-2.236067977,24
12,7.280109889,50
12,-3.16227766,33
13,6.32455532,57
13,-3.605551275,39
14,7.071067812,50
14,-4.123105626,39
15,5.099019514,63
15,-5.099019514,51
16,7.071067812,71
16,-5.385164807,64
17,6.08276253,71
18,5.099019514,57
18,-3,33
19,5.099019514,63
19,-4.472135955,39
20,6,63
20,-5.385164807,44
21,6.32455532,64
21,-5.385164807,51
22,6.32455532,79
22,-5.830951895,64
23,6.08276253,71
23,-6.32455532,71
24,5.385164807,57
24,-2,24
25,6.08276253,50
25,-3.16227766,33
26,5.099019514,63
26,-4.472135955,44
27,6.08276253,57
27,-5,51
28,5.099019514,70
28,-5.099019514,64
29,-5.099019514,64
29,7,71
30,-6.08276253,79
30,6,71
31,6.08276253,50
31,-1,20
32,7.280109889,50
32,-3.16227766,29
33,6.08276253,55
33,-5.385164807,44
34,6.08276253,63
34,-5.099019514,51
35,6,71
35,-4.123105626,64
36,5.099019514,71
36,-5.099019514,64
37,6.08276253,78
37,-6.32455532,78
38,6.08276253,50
38,-3.16227766,28
39,6,55
39,-5.385164807,44
40,6.08276253,57
40,-5,51
41,6.32455532,78
41,-5.385164807,64
42,7.071067812,71
42,-6.08276253,71
43,6.08276253,87
43,-5.099019514,64
44,6.32455532,57
44,-1.414213562,28
45,6.32455532,63
45,-2.236067977,33
46,6.32455532,63
46,-4.123105626,57
47,7.071067812,63
47,-4,57
48,7.071067812,71
48,-5.385164807,71
49,6,87
49,-5.099019514,78
50,-6.08276253,79
50,6.08276253,79
51,6.08276253,57
52,6.08276253,63
52,-3.16227766,44
53,7.071067812,71
53,-4.123105626,51
54,7,63
54,-4.123105626,44
55,-4.123105626,64
55,8,71
56,6.708203932,87
56,-6.708203932,71
57,7,71
58,6.32455532,63
58,-3.605551275,38
59,7.280109889,71
59,-3.16227766,44
60,6.08276253,70
60,-4.123105626,50
61,7,71
61,-4.123105626,57
62,6.08276253,79
62,-6.08276253,71
63,7.071067812,96
64,8.062257748,78
64,-2.236067977,24
65,6.32455532,70
65,-2.236067977,39
66,6.08276253,63
66,-4.123105626,44
67,7.071067812,78
67,-4.123105626,57
68,7.071067812,78
68,-5.099019514,64
69,6.08276253,79
69,-6.08276253,71
70,7.280109889,70
71,6.08276253,63
71,-1.414213562,28
72,7.071067812,63
72,-4.472135955,44
73,7.280109889,63
73,-4.472135955,57
74,7,78
74,-5,63
75,7,87
75,-5.099019514,78
76,7.280109889,87
76,-5.099019514,87
77,7.071067812,78
78,7.071067812,71
78,-2.236067977,28
79,6.08276253,70
79,-5.099019514,51
80,7.615773106,78
80,-6.708203932,71
81,7.071067812,78
81,-5.099019514,71
82,-6.708203932,71
82,7.280109889,79
83,8.062257748,87
83,-5.385164807,78
84,7.071067812,79
84,-6.08276253,71
85,8.246211251,78
85,-2.236067977,38
86,8.062257748,71
86,-3.16227766,38
87,7.071067812,79
87,-4.123105626,57
88,9.219544457,78
88,-5,50
89,8.246211251,87
89,-5.385164807,78
90,7.280109889,87
91,9.219544457,78
91,-1.414213562,24
92,8.246211251,71
92,-2.236067977,38
93,9.219544457,71
93,-3.605551275,50
94,8.246211251,71
94,-5.385164807,51
95,8.062257748,87
95,-5.385164807,71
96,-6.08276253,87
96,7.071067812,87
97,6.08276253,87
98,8.246211251,78
98,-1.414213562,33
99,8,71
99,-3,44
100,8.246211251,71
100,-5.385164807,57
101,7.280109889,87
101,-5.385164807,71
102,7.071067812,71
102,-5.099019514,64
103,-6.32455532,87
103,8.062257748,87
104,-6.708203932,71
104,8.246211251,87
105,8.246211251,78
106,9.055385138,71
106,-2,38
107,7.071067812,87
107,-4.123105626,51
108,8.062257748,71
108,-4,51
109,8.062257748,79
109,-5.099019514,57
110,7.071067812,95
111,8.062257748,96
112,8.246211251,79
112,-2.236067977,38
113,7.071067812,79
113,-4.123105626,44
114,8,79
114,-4,57
115,8.062257748,87
115,-4.123105626,63
116,8.246211251,87
116,-6.32455532,85
117,7.071067812,104
118,14.56021978,24
118,8.062257748,87
119,17.02938637,57
119,7,87
120,18.24828759,57
120,7.071067812,96
121,8.246211251,96
121,17.2626765,63
122,8.246211251,96
122,17.4642492,63
123,8.246211251,96
123,18.43908891,79
124,7.071067812,96
124,17.2626765,71
125,7.280109889,96
125,18.02775638,96
126,6.08276253,104
126,19.02629759,95
127,21.09502311,104
127,6.32455532,96
128,18.43908891,33
128,8.062257748,96
128,17.2626765,38
129,18.43908891,39
129,8.062257748,87
129,18.43908891,51
130,18.97366596,39
130,8.246211251,96
130,19.10497317,57
131,19.23538406,87
131,8.246211251,78
132,20.39607805,85
132,8.062257748,95
132,17.08800749,29
133,19.92485885,70
133,9.055385138,87
133,17.2626765,44
134,20.88061302,76
134,9.055385138,87
134,20.88061302,57
135,20.88061302,55
135,9.055385138,96
135,19.6468827,51
136,20.88061302,55
136,8.062257748,104
136,21.58703314,78
137,20.24845673,70
137,9.055385138,96
137,21.21320344,64
137,21.9317122,70
137,23.70653918,29
138,21.9317122,55
138,8.246211251,95
138,20.09975124,57
139,21.1896201,76
139,9.055385138,95
139,21.37755833,57
140,21.9317122,76
140,9.219544457,87
140,21.37755833,87
141,22.13594362,88
141,9.219544457,104
141,26.17250466,78
142,21.9317122,70
142,8.062257748,95
142,24.18677324,113
143,22.47220505,70
143,10,87
143,25.07987241,85
143,21.1896201,64
144,20.24845673,50
144,7.071067812,104
144,18.43908891,57
145,20.24845673,57
145,18.43908891,71
145,7,96
145,19.6468827,50
146,21.1896201,76
146,10.19803903,96
146,22.36067977,63
147,21.54065923,70
147,9.055385138,87
147,20.39607805,85
148,20.24845673,76
148,7.071067812,96
148,19.6468827,95
148,25.3179778,64
149,18.68154169,51
149,7.071067812,87
149,19.41648784,50
150,19.31320792,63
150,7.071067812,87
150,18.68154169,63
151,21.54065923,55
151,20.61552813,64
151,8.062257748,87
151,19.6468827,87
152,21.1896201,70
152,8,87
152,20.61552813,95
153,20.24845673,76
153,8.062257748,87
153,20.39607805,103
154,22.84731932,61
154,9.219544457,104
154,23.19482701,113
155,22.84731932,66
155,10.19803903,96
155,27.01851217,64
155,21.37755833,95
156,22.84731932,61
156,9.055385138,87
156,25.01999201,79
156,20.39607805,104
157,20.61552813,76
157,8.246211251,87
157,25.07987241,71
157,20.61552813,71
158,21.1896201,76
158,8.062257748,96
158,26.17250466,71
158,20.88061302,87
159,21.54065923,61
159,7.071067812,79
159,19.92485885,79
160,20.61552813,70
160,8.062257748,79
160,19.92485885,79
161,22.84731932,50
161,20.61552813,64
161,8,87
161,19.6468827,79
162,23.76972865,50
162,22.36067977,64
162,10.04987562,96
162,20.61552813,114
162,24.35159132,71
163,22.84731932,48
163,10.04987562,96
163,21.37755833,71
163,24.35159132,57
164,18.24828759,71
164,7.071067812,87
164,22.84731932,44
165,18.11077028,79
165,7.071067812,96
165,22.36067977,44
166,16,110
166,6,95
166,21.9317122,39
167,18,121
167,6.32455532,96
168,18,113
168,6.08276253,104
169,16.03121954,110
169,5.099019514,87
170,17.02938637,95
170,6.08276253,96
170,19.23538406,29
171,17.11724277,87
171,6,96
171,21.47091055,33
172,16.2788206,87
172,6.08276253,87
172,21.02379604,39
173,16.2788206,79
173,6.08276253,87
173,21.02379604,44
174,16.4924225,79
174,4.472135955,87
174,20.24845673,44
175,15,104
175,4,87
175,21.47091055,44
176,16.03121954,113
176,4.123105626,87
177,16,104
177,3.16227766,79
178,17.02938637,104
178,5,79
179,16.03121954,104
179,4.123105626,79
180,17.11724277,87
180,5,79
180,18.78829423,29
181,16.2788206,78
181,5,71
181,18.78829423,33
182,17.2626765,87
182,5.099019514,87
182,19.31320792,39
183,17.2626765,87
183,4.123105626,79
183,19.31320792,39
184,17.4642492,78
184,4.123105626,87
184,18.97366596,39
185,16.03121954,121
185,4.123105626,87
186,16,121
186,3,87
187,17.02938637,113
187,5.099019514,96
188,17,113
188,5.099019514,87
189,15.13274595,110
189,4.123105626,87
190,17.2626765,99
190,6.08276253,87
191,19.23538406,88
191,8.062257748,96
192,19.6468827,92
192,3.16227766,79
192,12.36931688,29
193,18.68154169,99
193,3.16227766,87
193,13.15294644,39
194,18.43908891,103
194,3,87
194,12.36931688,39
195,19.92485885,103
195,3,79
195,13.15294644,39
196,19.92485885,103
196,4.123105626,78
196,12.36931688,44
197,21.02379604,103
197,3.16227766,78
197,12.16552506,44
198,20.61552813,110
198,3.16227766,79
198,12.16552506,51
199,20.61552813,99
199,2.236067977,87
199,12.16552506,57
200,19.92485885,110
200,3,78
200,12.36931688,51
201,20.61552813,110
201,3.16227766,78
201,13.15294644,44
202,20.24845673,110
202,3.16227766,78
202,12.16552506,57
203,21.02379604,103
203,2.828427125,87
203,12.16552506,51
204,20.24845673,99
204,3,78
204,11.40175425,51
205,21.02379604,103
205,2,87
205,13.34166406,44
206,20.24845673,110
206,2,79
206,12.16552506,39
207,21.1896201,110
207,3,71
207,13.34166406,39
208,21.1896201,110
208,11.40175425,20
208,3,63
208,12.16552506,44
209,20.24845673,110
209,4.123105626,71
209,13.15294644,33
210,21.1896201,110
210,3,63
210,12.36931688,44
211,21.1896201,121
211,3,71
211,11.40175425,51
212,21.1896201,110
212,3,71
212,13.34166406,44
212,41.40048309,15
213,23.85372088,57
213,28.16025568,57
213,2.236067977,87
213,21.02379604,85
213,12.36931688,29
213,41.40048309,16
214,19.31320792,44
214,5.099019514,71
214,14,50
215,20.24845673,39
215,5.099019514,63
215,14.03566885,55
215,39.40812099,32
216,18.38477631,44
216,5.385164807,78
216,14,50
216,37.44329045,43
217,17.88854382,44
217,4.242640687,70
217,13,55
217,36.05551275,71
218,19.23538406,39
218,3.605551275,79
218,13.03840481,55
218,33.83784863,79
219,3.605551275,76
219,31.57530681,52
219,31.01612484,63
219,23.60084744,82
219,35,79
220,12.64911064,50
220,2.236067977,71
220,27.89265136,87
220,22.20360331,76
221,13.15294644,64
221,2,87
221,26.30589288,71
221,23.85372088,82
221,34.05877273,85
222,26.90724809,151
222,23.40939982,64
222,-3.16227766,71
222,23.40939982,71
222,13.89244399,44
222,30.52867504,55
222,23.34523506,63
222,36.89173349,43
223,42.52058325,16
223,28.31960452,123
223,21.54065923,64
223,18.38477631,79
223,-4,85
223,10.81665383,63
223,22.627417,103
223,31.38470965,57
223,38.83297568,40
224,28.28427125,123
224,22.13594362,71
224,17.88854382,79
224,8.062257748,57
224,-3.16227766,71
224,30.88689042,71
224,23.34523506,71
224,38.60051813,48
225,29.06888371,104
225,22.56102835,71
225,18.86796226,79
225,8.062257748,57
225,-3.605551275,71
225,28.63564213,57
225,22.627417,71
225,37.44329045,48
226,11.70469991,57
226,2.236067977,78
226,25.17935662,64
226,20.59126028,70
226,29.96664813,33
226,35.77708764,26
226,24.41311123,104
227,13,63
227,4.472135955,71
227,20.24845673,64
227,28.63564213,44
227,23.60084744,96
228,14.31782106,71
228,4.472135955,55
228,23.2594067,85
228,30.08321791,57
228,36.67424164,15
229,13,57
229,3.605551275,71
229,31.57530681,50
229,20.61552813,95
230,14.03566885,63
230,4,78
230,33.52610923,32
230,25.05992817,85
231,38.94868419,55
231,12.64911064,64
231,2.236067977,71
231,31.78049716,48
231,21.02379604,87
232,38.94868419,48
232,12.64911064,71
232,2.828427125,78
232,-25,38
232,32.75667871,44
232,21.9317122,96
233,12.64911064,64
233,2.828427125,78
233,18.68154169,88
234,13.92838828,51
234,3.605551275,78
234,20.09975124,104
234,30.2654919,50
234,28.63564213,78
235,19.41648784,29
235,26.57066051,63
235,12.08304597,57
235,2.236067977,63
236,4.472135955,78
236,14.03566885,95
236,28,78
237,3.16227766,79
237,25.07987241,87
237,12.36931688,64
237,-23.19482701,52
237,20.61552813,78
238,5.099019514,71
238,24.33105012,87
238,11.40175425,71
238,-23.34523506,55
238,18.38477631,114
238,23.40939982,142
238,39.40812099,32
239,4.123105626,71
239,12.36931688,71
239,24.08318916,87
239,31.25699922,55
239,33.61547263,43
239,39.40812099,35
239,25.63201124,113
240,6.32455532,87
240,12.64911064,71
240,23.19482701,103
240,32.24903099,32
240,28.23118843,110
241,22.8035085,57
241,6.32455532,78
241,11.40175425,76
241,22.09072203,99
241,31.25699922,55
241,34.53983208,32
241,39.11521443,29
242,7.280109889,87
242,14.31782106,96
242,22.20360331,79
242,-31.11269837,70
242,28.17800561,121
243,40.31128874,32
243,14.76482306,96
243,6.32455532,87
243,30.47950131,132
243,28.65309756,107
244,41.01219331,26
244,14.2126704,104
244,-8,85
244,26.40075756,130
244,38.89730068,71
245,16.03121954,104
245,5,71
245,36.79673899,92
246,19.84943324,95
246,25.3179778,154
246,-5.385164807,78
246,25.01999201,55
247,-9.433981132,76
247,24.51530134,154
247,15.23154621,79
247,26.57066051,64
247,25.49509757,110
247,36.76955262,81
248,29.27456234,16
248,-10.29563014,70
248,24.51530134,154
248,15.23154621,79
248,26.57066051,64
248,25.70992026,161
248,36.76955262,81
249,29.27456234,16
249,-9.433981132,70
249,25.3179778,154
249,15.23154621,79
249,26.92582404,64
249,24.73863375,156
249,36.76955262,76
250,29.27456234,29
250,-8.062257748,78
250,25.3179778,165
250,17.4642492,87
250,27.85677655,71
250,36.61966685,78
250,25.96150997,147
250,37.48332963,67
251,28.28427125,55
251,-7.810249676,70
251,25.17935662,154
251,15.65247584,71
251,33.24154028,35
251,27.73084925,71
251,25.49509757,126
251,36.79673899,63
252,29.27456234,29
252,-7.211102551,78
252,27.16615541,154
252,16.15549442,96
252,28.23118843,96
252,37.01351105,95
252,25,165
252,36.79673899,44
253,-8.062257748,70
253,27.29468813,154
253,15.8113883,104
253,27.85677655,87
253,36.40054945,95
253,25.49509757,118
253,37.48332963,59
254,-7.810249676,70
254,26.17250466,154
254,14.86606875,87
254,28.23118843,71
254,37.01351105,87
254,36.79673899,63
255,-7.071067812,76
255,26.07680962,121
255,15.23154621,87
255,27.73084925,87
255,22.8035085,132
255,24.33105012,114
256,-9.219544457,70
256,26.17250466,143
256,13.60147051,79
256,27.85677655,64
257,-10.81665383,78
257,26.47640459,143
257,13.34166406,87
257,27.51363298,64
257,36.40054945,104
258,-12.20655562,85
258,26.68332813,133
258,13.03840481,78
258,27.20294102,71
258,35.22782991,87
258,22.09072203,143
259,-10.81665383,70
259,26.30589288,165
259,13.34166406,95
259,29.73213749,79
259,35.80502758,87
259,24.18677324,164
260,-10.81665383,70
260,26.17250466,176
260,14.31782106,87
260,35.80502758,87
260,24.33105012,164
261,-10.81665383,70
261,27.45906044,154
261,14.14213562,96
261,35.80502758,87
261,24.33105012,142
262,-10.81665383,78
262,26.68332813,142
262,13.03840481,87
262,30.3644529,71
262,36.61966685,85
262,23.19482701,174
263,-10,71
263,27.29468813,164
263,13.15294644,79
263,36.61966685,78
263,25.3179778,142
264,-10.81665383,70
264,27.45906044,164
264,13.03840481,87
264,36.40054945,87
264,24.08318916,121
265,27.65863337,142
265,-8.485281374,71
265,13,104
265,37.64306045,78
265,24.18677324,139
266,28.16025568,132
266,-9.899494937,78
266,14.31782106,104
266,25.07987241,142
267,30.3644529,118
267,-9.219544457,70
267,15.8113883,103
268,30.8058436,114
268,17.72004515,132
268,-7.615773106,70
268,15.62049935,55
269,32.28002478,83
269,20.61552813,132
269,-7.810249676,70
269,14.86606875,57
270,25.8069758,154
270,31.01612484,85
270,19.02629759,132
270,-5.830951895,70
270,27.85677655,104
270,21.63330765,63
271,25.8069758,154
271,30.14962686,66
271,19.10497317,104
271,-5,78
271,27.73084925,134
271,21.40093456,71
272,27.01851217,165
272,29.27456234,62
272,19.10497317,103
272,-5.830951895,63
272,27.31300057,134
272,21.40093456,71
273,27.20294102,133
273,19.02629759,132
273,-5.385164807,71
273,28.63564213,147
273,19.84943324,78
273,28.60069929,123
274,22.36067977,165
274,-4,78
274,23.34523506,123
274,17.80449381,71
274,31.76476035,63
275,22.36067977,154
275,-4,78
275,23.53720459,123
275,31.76476035,71
276,22.36067977,154
276,-3.16227766,78
276,23.34523506,113
276,18.43908891,79
276,38.28837944,63
277,22.36067977,154
277,-3.16227766,78
277,23.34523506,123
278,21.47091055,154
278,-4.123105626,70
278,23.19482701,133
278,16.64331698,64
278,37.64306045,57
278,25.3179778,142
279,21.47091055,165
279,-3,78
279,24.33105012,123
279,14.4222051,87
280,40.31128874,32
280,18.43908891,143
280,30.08321791,107
280,-8,63
280,17.2626765,114
280,7.211102551,82
281,25.70992026,99
281,18.86796226,143
281,30.8058436,107
281,-7.280109889,57
281,7.280109889,76
281,18.68154169,113
281,31.38470965,76
282,26.92582404,88
282,19.23538406,143
282,30.59411708,107
282,-7.280109889,87
282,6.08276253,85
282,18.68154169,95
282,13.45362405,44
282,31.01612484,78
283,21.02379604,143
283,-3,71
283,10.19803903,76
283,21.84032967,95
283,38.28837944,51
284,22.36067977,133
284,-2.236067977,71
284,10.19803903,92
284,21.84032967,104
285,25.49509757,189
285,16.2788206,104
285,3.605551275,57
285,28.01785145,77
285,-6.08276253,63
285,9.433981132,57
285,20.61552813,176
285,32.20248438,71
285,-24.0208243,87
285,-30.46309242,19
286,41.01219331,13
286,24.04163056,176
286,17.2626765,104
286,4.123105626,57
286,28.16025568,72
286,-6.32455532,57
286,9.433981132,57
286,21.9317122,176
286,32.01562119,79
286,-25.01999201,76
286,29.06888371,61
286,-31.01612484,15
287,32.24903099,35
287,41.03656906,22
287,24.75883681,176
287,18.11077028,95
287,5,64
287,-5.385164807,71
287,29.83286778,66
287,26.01922366,70
288,-32.75667871,52
288,26.2488095,176
288,21.02379604,114
288,7,64
288,-5.656854249,63
288,13.03840481,95
288,23.43074903,114
289,-33.28663395,48
289,25.61249695,176
289,22.09072203,104
289,-5,55
289,13.41640786,95
289,24.08318916,95
290,25.49509757,154
290,25.3179778,113
290,14.86606875,44
290,6.08276253,57
290,15.29705854,78
290,-5,63
290,24.08318916,104
290,-32.75667871,10
291,-29.06888371,24
291,24.08318916,154
291,25.70992026,113
291,14.31782106,57
291,5.830951895,71
291,-6.403124237,78
291,21.9317122,161
291,31.06444913,85
291,-27.07397274,59
292,-28.01785145,32
292,29.15475947,40
292,24.04163056,143
292,26.47640459,113
292,14.31782106,57
292,6.403124237,63
292,-7.810249676,71
292,22.6715681,133
292,32.20248438,99
292,-28.01785145,48
293,-28.01785145,35
293,24.75883681,165
293,24.73863375,123
293,13.89244399,57
293,5.656854249,71
293,-9.219544457,71
293,-28.0713377,51
293,38.28837944,16
294,-29,24
294,26.2488095,154
294,26.92582404,130
294,14.76482306,64
294,5,79
294,-7.810249676,87
294,30.87069808,85
294,22.6715681,154
294,34.05877273,57
294,-27.01851217,41
294,39.59797975,26
294,31.78049716,19
295,-28,44
295,24.08318916,165
295,26.68332813,113
295,14.31782106,57
295,17.4642492,95
295,5.656854249,71
295,-8.485281374,63
295,24.04163056,165
295,33.83784863,61
295,-29.01723626,21
296,-28.01785145,48
296,25.61249695,133
296,15.8113883,78
296,27.65863337,95
296,6.403124237,78
296,-9.899494937,63
296,13.45362405,70
297,26.17250466,143
297,35.4682957,31
297,25,57
297,-6.708203932,63
297,26.40075756,143
297,28.01785145,29
298,24.75883681,123
298,32.89376841,44
298,25,57
298,15.5241747,61
298,21.09502311,78
298,33.06055051,18
298,7.211102551,78
298,-7.615773106,63
298,26.40075756,143
298,28.01785145,29
299,-6.32455532,57
299,35.11409973,15
299,27.20294102,133
299,36.05551275,48
299,27.07397274,48
300,29.12043956,104
300,9.055385138,103
300,-1,71
300,30.41381265,57
300,24.18677324,95
300,30.23243292,72
301,28.16025568,104
301,8,103
301,-2.236067977,71
301,19.31320792,164
301,29.42787794,70
301,24.08318916,85
302,28.63564213,132
302,9.055385138,85
302,-1.414213562,71
302,30.59411708,63
302,25.17935662,95
303,30.08321791,121
303,17.88854382,51
303,8.062257748,95
303,-1.414213562,63
303,21.1896201,205
303,23.19482701,99
304,30.6757233,113
304,18.35755975,57
304,8,92
304,20.24845673,208
304,-1.414213562,78
304,30.14962686,78
304,24.08318916,63
305,30.08321791,95
305,20.1246118,64
305,9.055385138,95
305,21.9317122,246
305,-2,55
305,30.41381265,76
306,27.16615541,154
306,-2,76
306,-23,76
307,28.16025568,154
307,1,63
307,25.49509757,123
308,26.17250466,142
308,0,70
309,26.30589288,132
309,-1.414213562,70
310,13.15294644,87
310,3,71
310,28.7923601,123
310,26.17250466,71
310,31.38470965,41
311,12.36931688,71
311,2.236067977,78
311,25.49509757,71
312,14.14213562,71
312,3,63
312,29.54657341,143
312,27.58622845,78
312,33.9705755,87
312,-29.41088234,24
313,3.16227766,64
313,15.03329638,64
313,40.80441153,26
314,3.605551275,64
314,15.03329638,78
314,40.80441153,24
314,31.30495168,32
315,4.123105626,55
316,3.605551275,63
316,40.22437072,29
316,29.96664813,61
317,4.472135955,61
317,39.66106403,31
317,29.96664813,52
318,5,64
318,12.04159458,44
318,-31.82766093,52
318,39.66106403,26
318,28.23118843,57
319,3.605551275,57
319,12.04159458,57
319,40.80441153,18
320,3.16227766,63
320,12.04159458,57
320,40.80441153,18
321,4,63
321,13.03840481,57
321,40.80441153,18
322,3.16227766,63
322,13.03840481,64
322,40.80441153,18
323,4.123105626,63
323,15.03329638,64
323,40.80441153,18
324,3.16227766,63
324,40.80441153,18
325,3.605551275,70
325,39.40812099,44
325,40.80441153,18
326,3.605551275,57
326,40.80441153,18
327,4.123105626,57
327,40.80441153,19
328,3.16227766,63
328,40.80441153,18
329,3,63
329,40.80441153,24
330,4.123105626,50
330,40.80441153,18
331,3.16227766,63
331,40.80441153,18
332,4.123105626,63
332,40.80441153,18
333,3.605551275,57
333,40.80441153,18
334,3,63
334,40.80441153,26
335,3.16227766,63
335,40.80441153,26
336,4,63
336,41.40048309,16
337,4,57
337,40.80441153,16
338,4,55
338,40.80441153,18
339,4.123105626,55
339,40.80441153,18
340,3,63
340,40.80441153,26
341,3.605551275,57
341,40.80441153,19
342,2.236067977,63
342,40.80441153,26
343,2.828427125,63
343,40.22437072,31
344,4.123105626,55
344,40.80441153,19
345,3.16227766,63
345,40.80441153,19
346,3,63
346,40.80441153,18
347,4,55
347,40.80441153,16
348,3.605551275,57
348,40.22437072,21
348,-32.52691193,52
349,3,63
349,40.80441153,18
350,3.605551275,57
350,40.22437072,19
351,4.123105626,55
351,40.22437072,19
352,3.605551275,57
352,40.80441153,18
353,3.605551275,57
353,40.22437072,21
353,-31.82766093,52
354,3.605551275,63
354,40.22437072,21
354,-31.82766093,48
355,2,63
355,40.80441153,18
356,3.16227766,63
356,40.22437072,18
357,4,55
357,40.80441153,19
358,3.605551275,57
358,40.22437072,19
358,-32.52691193,52
359,2,63
359,40.80441153,18
360,4.472135955,63
360,40.22437072,21
361,3.605551275,57
361,40.22437072,19
362,3.16227766,63
362,40.22437072,22
363,4.123105626,50
363,40.22437072,19
364,3.16227766,55
364,40.22437072,19
364,-32.52691193,48
365,2.828427125,57
365,40.22437072,19
365,-32.52691193,52
366,3.605551275,63
366,40.22437072,21
366,-32.52691193,52
367,3.16227766,57
367,40.80441153,19
368,3.605551275,63
368,40.22437072,21
369,3,63
369,40.80441153,21
370,3.605551275,57
370,40.22437072,19
370,34.40930107,24
371,3.605551275,63
371,-31.82766093,48
372,8.062257748,63
372,-18.38477631,143
372,19.02629759,85
372,-31.144823,63
373,6.403124237,63
373,-20.51828453,139
373,-19.02629759,103
373,-31.11269837,63
374,2.236067977,63
374,40.80441153,18
375,24.18677324,142
375,-6.708203932,63
375,11.04536102,70
375,29.06888371,95
375,25.8069758,113
375,35.4682957,79
376,26.01922366,130
376,-6.708203932,63
376,11.40175425,88
376,29.06888371,99
377,30,95
377,-4.242640687,57
377,17.2626765,114
377,31.82766093,114
378,24.0208243,165
378,-4.472135955,64
378,27.29468813,104
378,21.26029163,85
379,3.16227766,57
379,40.80441153,18
380,3.16227766,63
380,40.80441153,19
381,3.605551275,50
381,40.80441153,19
382,4.472135955,55
382,40.80441153,18
383,4.472135955,55
383,40.22437072,21
384,2.828427125,63
384,40.80441153,26
385,4,63
385,40.80441153,16
386,3.605551275,63
386,40.80441153,18
387,4,55
387,41.40048309,19
388,2.236067977,63
388,40.80441153,18
389,2.236067977,70
389,40.80441153,18
390,3.16227766,71
390,40.80441153,18
391,3.605551275,70
391,40.22437072,21