,time,dist,area
2,1,70.00714249,288
3,1,46.86149806,560
4,1,79.33000693,378
5,1,59.53360396,322
6,1,81.09408117,648
7,1,66.97947447,644
8,1,30.70016287,609
9,1,29.60574269,693
10,2,71.47377141,609
12,2,77.00973964,459
13,2,46.22769733,864
14,2,63.53148826,462
15,2,78.36612789,620
16,2,65.34906273,783
17,2,31.10064308,754
18,2,28.65745976,594
19,3,73.62404499,609
20,3,46.38156962,726
21,3,74.59390055,476
22,3,63.00793601,576
23,3,27.66315239,594
24,3,35.08917212,850
25,3,65.77423508,812
26,3,78.10249676,832
28,4,70.46453008,546
29,4,44.22951503,792
30,4,75.79247984,551
31,4,30.03747659,646
32,4,56.0357029,396
33,4,77.24797732,736
34,4,63.71224372,756
35,4,33.42154993,660
37,5,68.98731768,650
39,5,73.01540933,522
40,5,57,352
41,5,30.6022875,561
42,5,34.76348659,713
43,5,43.27817002,1088
44,5,74.84149918,546
45,5,65.08648093,690
46,6,70.3651192,506
47,6,43.13351365,725
48,6,56.0357029,484
49,6,73.98141659,414
51,6,75.55461601,435
52,6,65.94126174,700
53,6,31.6267292,644
54,6,29.50423698,725
55,7,68.96557112,600
57,7,75.91607208,540
58,7,74.84149918,504
59,7,63.7906733,598
60,7,30.80990101,696
61,7,27.51817581,700
62,7,56.57958996,374
63,7,41.74326293,1023
64,8,70.4006392,744
65,8,43.52298243,650
66,8,30.01666204,660
67,8,30.77742679,598
68,8,63.81222453,624
69,8,73.24616031,484
70,8,55.03635162,384
71,8,71.20744343,625
73,9,70.83784299,832
74,9,75.70997292,840
75,9,58.67282165,399
76,9,41.74326293,961
77,9,29.50423698,825
78,9,26.87936011,729
79,9,65.19202405,896
80,9,71.43178564,525
82,10,67.88593374,675
83,10,74.47314952,494
84,10,41.37934267,806
85,10,31.53569406,621
86,10,27.28094573,644
87,10,66.15323121,812
88,10,68.89303303,800
89,10,60.11031525,1080
91,11,68.24404736,594
92,11,41.01219331,784
93,11,28.0713377,704
94,11,27.65863337,728
95,11,64.20669747,775
96,11,73.85289432,644
97,11,55.08175742,540
98,11,73.24616031,680
100,12,39.6042927,725
101,12,67.55183195,550
102,12,27.07397274,720
103,12,31.12073264,609
104,12,63.7906733,792
105,12,70.21573898,420
106,12,53.61436375,589
107,12,75.40722777,464
108,12,74.6860094,216
110,13,39.69886648,660
111,13,27.61340254,651
112,13,26.2488095,832
113,13,63.37586291,759
114,13,73.14711204,475
115,13,54.03702434,512
116,13,73.75127118,486
117,13,74.03546447,182
118,13,65.76473219,572
120,14,39.6042927,713
121,14,68.24404736,418
122,14,27.04163457,644
123,14,26.87005769,560
124,14,63.93160408,630
125,14,64.15995636,575
126,14,53.73313689,442
127,14,73.25469268,368
128,14,75.58438992,140
130,15,58.50213671,14641
131,15,27,720
132,15,38.89730068,560
133,15,67.55183195,462
134,15,27.93295545,696
135,15,62.12889827,572
136,15,69.02535766,609
137,15,54.08326913,576
138,15,77.59188102,187
139,15,74.23779361,552
141,16,27.58622845,720
142,16,25.89401475,891
143,16,39.32238548,540
144,16,75.15317691,120
145,16,72.27205546,506
146,16,53.11544032,350
147,16,65.13447628,513
148,16,65.62202374,750
150,17,64.77846865,456
151,17,35.36240942,667
152,17,26.54241888,561
153,17,29.36409372,868
154,17,63.9413794,783
155,17,64.87873303,546
156,17,54.33231083,432
157,17,73.34848328,320
159,18,27.61340254,651
160,18,24.74873734,675
161,18,36.41771547,418
162,18,64.07222487,500
163,18,72.32046737,756
164,18,54.886246,375
165,18,64.27480066,522
166,18,63.53148826,858
168,19,36.06937759,468
169,19,25.12468905,598
170,19,28.36370921,775
171,19,63.65728552,690
172,19,63.46061771,546
173,19,54.8292805,456
174,19,70.88018059,544
177,20,36.09016487,345
178,20,25.5,506
179,20,29.90819286,713
180,20,63.41332668,700
181,20,62.45398306,609
182,20,54.94770241,476
183,20,70.60453243,608
185,21,63.07535176,525
186,21,36.43144246,240
187,21,24.50510151,483
188,21,30.70016287,651
189,21,72.66532873,546
190,21,54.58937626,336
191,21,58.69412236,660
192,21,67.20119047,720
194,22,63.73774392,525
195,22,35.4189215,255
196,22,23.19482701,484
197,22,31.91002977,646
198,22,66.20611754,588
199,22,58.94064811,572
200,22,53.60037313,416
201,22,71.43178564,645
203,23,58.50213671,14641
206,23,60.95900262,616
207,23,36.06937759,360
208,23,24.54587542,483
209,23,33.55964839,736
210,23,67.80117993,660
211,23,60.03540622,546
212,23,54.66488818,432
213,23,72.36711961,408
214,24,61.28825336,532
215,24,34.67708177,627
216,24,25.54407955,425
217,24,33.97793402,713
218,24,66.7026986,682
219,24,56.76486589,506
220,24,54.25172808,420
221,24,71.06335202,532
224,25,58.50213671,14641
225,25,37.91108017,378
226,25,21.59282288,546
227,25,36.10055401,672
228,25,60.44005295,416
229,25,69.37038273,680
230,25,56.18051264,414
231,25,53.74476719,403
232,25,65.40068807,736
235,26,58.50213671,14641
236,26,43.20011574,272
237,26,60.6052803,384
238,26,29.12473176,208
239,26,22.588714,500
240,26,38.16084381,726
241,26,69.50719387,696
242,26,55.78530272,480
243,26,54.08558033,442
244,26,68.65857558,616
247,27,58.50213671,14641
250,27,59.70134002,456
251,27,43.54595274,300
252,27,31.90611227,324
253,27,22.69911893,378
254,27,37.21558813,720
255,27,68.30263538,806
256,27,54.207933,525
257,27,53.5023364,377
258,27,68.39042331,546
259,28,58.50213671,14641
260,28,58.70689908,425
261,28,43.41082814,315
262,28,22.588714,760
263,28,39.38591119,620
264,28,54.45410912,1422
265,28,69.23149572,560
268,29,58.50213671,14641
269,29,45.79301257,504
270,29,59.92703897,374
271,29,22.8035085,836
272,29,38.46101923,660
273,29,50.93378054,546
274,29,65.36436338,651
275,29,53.45091206,364
276,29,68.83676343,507
279,30,58.50213671,14641
280,30,60.1040764,345
281,30,48.97448315,627
282,30,22.36067977,988
283,30,42.26405092,798
284,30,66.77200012,945
285,30,52.28049349,588
286,30,51.5800349,527
287,30,66.68020696,444
291,31,48.99489769,475
292,31,21.1896201,1216
293,31,42.03867267,744
294,31,68.41052551,1020
295,31,52.06966487,594
296,31,51.39309292,580
297,31,67.9797764,492
298,31,83.20606949,714
302,32,66.59767263,496
303,32,52.40467536,544
304,32,51.05389309,525
305,32,65.29931087,720
306,32,41.62931659,768
307,32,14.31782106,672
308,32,28.04460732,527
309,32,49.88236161,308
310,32,57.80138407,448
313,33,66.94027188,544
314,33,53.48831648,432
315,33,49.03060269,728
316,33,66.4003012,960
317,33,43.20300915,725
318,33,28.35930182,350
319,33,14.7732867,850
320,33,51.87725899,350
321,33,60.82968026,450
323,34,73.78346698,560
324,34,66.97947447,630
325,34,52.5023809,595
326,34,48.93107397,600
327,34,68.63854602,1044
328,34,42.15447782,572
329,34,28.14693589,390
330,34,14.57737974,765
331,34,61.20661729,294
332,34,52.32829063,378
334,35,68.15423685,580
335,35,47.36296021,1140
336,35,63.89053138,884
337,35,44.47752241,630
338,35,12.81600562,612
339,35,24.90983741,429
340,35,49.64876635,320
341,35,57.7169819,442
343,36,67.31456009,638
344,36,47.87744772,952
345,36,67.41290678,899
346,36,47.16990566,484
347,36,26.30589288,360
348,36,13.23820229,784
349,36,53.42518133,550
351,37,71.56290939,528
352,37,49.96248593,560
353,37,62.66179059,731
354,37,46.93080012,483
355,37,66.80007485,812
356,37,45.06939094,522
357,37,24.68299009,630
358,37,11.18033989,700
359,37,54.3783045,560